  9809     SPring-8 14b2 
 Fe-K_FePO4_Si1  20.05.26 16:04 - 20.05.26 16:08
 FePO4                                                                           
 Ring :   8.0 GeV    99.5 mA -   99.6 mA
 Mono :   SI(111)       D=  3.13551 A    Initial angle= 17.07739 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 4415
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       16.95500  13.23500    -0.000850       0.05      4415
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0    47.200   101.900
  16.60310  16.60896     0.050     29011     17106
  16.60225  16.60803     0.050     29006     17106
  16.60140  16.60716     0.050     29020     17120
  16.60055  16.60631     0.050     29015     17129
  16.59970  16.60551     0.050     29015     17132
  16.59885  16.60478     0.050     29024     17141
  16.59800  16.60406     0.050     29031     17155
  16.59715  16.60332     0.050     29024     17164
  16.59630  16.60255     0.050     29041     17171
  16.59545  16.60169     0.050     29042     17180
  16.59460  16.60076     0.050     29050     17190
  16.59375  16.59984     0.050     29047     17193
  16.59290  16.59891     0.050     29066     17210
  16.59205  16.59798     0.050     29055     17215
  16.59120  16.59711     0.050     29058     17225
  16.59035  16.59626     0.050     29055     17223
  16.58950  16.59545     0.050     29074     17241
  16.58865  16.59472     0.050     29071     17245
  16.58780  16.59401     0.050     29067     17254
  16.58695  16.59326     0.050     29084     17270
  16.58610  16.59249     0.050     29080     17274
  16.58525  16.59162     0.050     29088     17284
  16.58440  16.59069     0.050     29091     17296
  16.58355  16.58977     0.050     29095     17305
  16.58270  16.58883     0.050     29098     17312
  16.58185  16.58791     0.050     29103     17317
  16.58100  16.58704     0.050     29110     17335
  16.58015  16.58620     0.050     29108     17334
  16.57930  16.58540     0.050     29122     17352
  16.57845  16.58468     0.050     29127     17361
  16.57760  16.58396     0.050     29122     17368
  16.57675  16.58322     0.050     29128     17376
  16.57590  16.58244     0.050     29129     17384
  16.57505  16.58157     0.050     29134     17396
  16.57420  16.58063     0.050     29138     17407
  16.57335  16.57971     0.050     29145     17412
  16.57250  16.57877     0.050     29151     17422
  16.57165  16.57785     0.050     29149     17427
  16.57080  16.57698     0.050     29151     17438
  16.56995  16.57614     0.050     29153     17446
  16.56910  16.57535     0.050     29167     17458
  16.56825  16.57463     0.050     29167     17461
  16.56740  16.57391     0.050     29176     17474
  16.56655  16.57316     0.050     29178     17487
  16.56570  16.57238     0.050     29179     17491
  16.56485  16.57149     0.050     29180     17496
  16.56400  16.57055     0.050     29188     17512
  16.56315  16.56963     0.050     29195     17523
  16.56230  16.56869     0.050     29193     17524
  16.56145  16.56777     0.050     29195     17534
  16.56060  16.56690     0.050     29208     17548
  16.55975  16.56606     0.050     29215     17561
  16.55890  16.56528     0.050     29211     17562
  16.55805  16.56456     0.050     29217     17576
  16.55720  16.56383     0.050     29230     17586
  16.55635  16.56308     0.050     29217     17591
  16.55550  16.56229     0.050     29228     17601
  16.55465  16.56140     0.050     29236     17617
  16.55380  16.56046     0.050     29233     17620
  16.55295  16.55954     0.050     29231     17626
  16.55210  16.55861     0.050     29246     17638
  16.55125  16.55769     0.050     29249     17646
  16.55040  16.55683     0.050     29232     17651
  16.54955  16.55600     0.050     29248     17665
  16.54870  16.55522     0.050     29268     17684
  16.54785  16.55451     0.050     29259     17683
  16.54700  16.55378     0.050     29265     17691
  16.54615  16.55303     0.050     29270     17703
  16.54530  16.55224     0.050     29279     17714
  16.54445  16.55134     0.050     29268     17711
  16.54360  16.55040     0.050     29275     17729
  16.54275  16.54948     0.050     29294     17745
  16.54190  16.54854     0.050     29289     17747
  16.54105  16.54763     0.050     29291     17750
  16.54020  16.54678     0.050     29308     17772
  16.53935  16.54594     0.050     29307     17776
  16.53850  16.54517     0.050     29298     17778
  16.53765  16.54445     0.050     29308     17792
  16.53680  16.54372     0.050     29308     17804
  16.53595  16.54297     0.050     29311     17809
  16.53510  16.54217     0.050     29317     17818
  16.53425  16.54125     0.050     29329     17830
  16.53340  16.54031     0.050     29337     17841
  16.53255  16.53939     0.050     29331     17852
  16.53170  16.53845     0.050     29344     17859
  16.53085  16.53754     0.050     29336     17866
  16.53000  16.53668     0.050     29340     17871
  16.52915  16.53585     0.050     29343     17884
  16.52830  16.53508     0.050     29349     17897
  16.52745  16.53437     0.050     29360     17905
  16.52660  16.53364     0.050     29353     17913
  16.52575  16.53288     0.050     29369     17925
  16.52490  16.53207     0.050     29367     17927
  16.52405  16.53116     0.050     29362     17937
  16.52320  16.53023     0.050     29378     17946
  16.52235  16.52930     0.050     29380     17954
  16.52150  16.52836     0.050     29380     17968
  16.52065  16.52746     0.050     29385     17979
  16.51980  16.52660     0.050     29395     17983
  16.51895  16.52578     0.050     29393     17996
  16.51810  16.52502     0.050     29390     18003
  16.51725  16.52431     0.050     29405     18018
  16.51640  16.52357     0.050     29408     18025
  16.51555  16.52281     0.050     29409     18028
  16.51470  16.52199     0.050     29415     18044
  16.51385  16.52107     0.050     29414     18048
  16.51300  16.52013     0.050     29422     18059
  16.51215  16.51921     0.050     29422     18069
  16.51130  16.51827     0.050     29434     18081
  16.51045  16.51737     0.050     29438     18085
  16.50960  16.51652     0.050     29435     18101
  16.50875  16.51570     0.050     29442     18104
  16.50790  16.51495     0.050     29448     18112
  16.50705  16.51423     0.050     29444     18120
  16.50620  16.51349     0.050     29445     18127
  16.50535  16.51272     0.050     29453     18144
  16.50450  16.51188     0.050     29456     18149
  16.50365  16.51095     0.050     29462     18158
  16.50280  16.51002     0.050     29463     18165
  16.50195  16.50909     0.050     29468     18178
  16.50110  16.50815     0.050     29477     18189
  16.50025  16.50726     0.050     29478     18198
  16.49940  16.50641     0.050     29479     18205
  16.49855  16.50560     0.050     29479     18214
  16.49770  16.50486     0.050     29493     18227
  16.49685  16.50414     0.050     29492     18236
  16.49600  16.50339     0.050     29500     18244
  16.49515  16.50263     0.050     29502     18260
  16.49430  16.50178     0.050     29505     18267
  16.49345  16.50085     0.050     29510     18274
  16.49260  16.49992     0.050     29516     18291
  16.49175  16.49898     0.050     29524     18295
  16.49090  16.49805     0.050     29514     18300
  16.49005  16.49717     0.050     29533     18315
  16.48920  16.49632     0.050     29531     18326
  16.48835  16.49551     0.050     29535     18331
  16.48750  16.49477     0.050     29544     18335
  16.48665  16.49405     0.050     29545     18346
  16.48580  16.49331     0.050     29555     18364
  16.48495  16.49254     0.050     29553     18371
  16.48410  16.49167     0.050     29553     18379
  16.48325  16.49073     0.050     29563     18391
  16.48240  16.48980     0.050     29565     18397
  16.48155  16.48886     0.050     29567     18401
  16.48070  16.48793     0.050     29577     18419
  16.47985  16.48705     0.050     29585     18430
  16.47900  16.48620     0.050     29573     18427
  16.47815  16.48540     0.050     29591     18451
  16.47730  16.48467     0.050     29594     18455
  16.47645  16.48394     0.050     29589     18464
  16.47560  16.48319     0.050     29592     18473
  16.47475  16.48240     0.050     29604     18487
  16.47390  16.48152     0.050     29604     18491
  16.47305  16.48058     0.050     29603     18498
  16.47220  16.47965     0.050     29611     18511
  16.47135  16.47871     0.050     29621     18522
  16.47050  16.47779     0.050     29618     18530
  16.46965  16.47692     0.050     29624     18539
  16.46880  16.47607     0.050     29627     18553
  16.46795  16.47529     0.050     29631     18559
  16.46710  16.47457     0.050     29631     18562
  16.46625  16.47384     0.050     29642     18582
  16.46540  16.47309     0.050     29645     18588
  16.46455  16.47230     0.050     29636     18594
  16.46370  16.47140     0.050     29653     18606
