# XDI/1.0 
# Spectrum.license:CC BY 4.0
# Publication.authors: Mehrnaz Mikhchian
# Publication.affiliation: Canadian Light Source
# Facility.name:CLS
# Sample.temperature:r.t
# Sample.prep:powder, 500 um
# Publication.DOI: https://doi.org/10.20383/103.01329
# Sample.name:Iron (III) Phospahte-x2H2O
# Scan.number:scan1
# Sample.id:3q20lp
# Scan.start_time:2024-05-10
# Element.symbol:Fe
# Facility.energy:2.90 GeV
# Facility.xray_source:Bending magnet
# Beamline.name:SXRMB
# Beamline.scan_type:XAFS
# Beamline.scan_mode:TEY
# Beamline.website:https://sxrmb.lightsource.ca/
# Beamline.detector:Sample Current
# Beamline.energy_range:1.7 - 10.0
# Beamline.flux:1E11 ph/s
# Mono.name:InSb(111), Si(111)
# Element.edge:K
# Beamline_scan_mode:TEY
# Column.1:Energy
# Column.2:I0
# Column.6:TEY
# Column.7:Ifluor
# Column.5:Mufluor
# Energy  I0       TEY      Ifluor    Mufluor                  
7195.82   73773    0.7535751331426265        72366    308.621  
7197.61   74361    0.7545452399171313        72999    309.591  
7199.43   75007    0.7534987407950767        73572    296.318  
7201.27   75630    0.7514103360650999        74060    305.5    
7203.12   76215    0.7497458498128501        74534    288.105  
7204.99   76848    0.7470733997991578        74993    331.04   
7206.88   77461    0.742431375918446         75311    304.377  
7208.8    78015    0.7393122635737235        75660    303.327  
7210.73   78583    0.735509732136676         75978    311.47   
7212.67   79219    0.7314775283904665        76344    306.347  
7214.64   79813    0.7262609958057766        76592    284.826  
7216.63   80724    0.7213768851072502        77159    325.673  
7218.64   81312    0.7183777897364743        77531    297.047  
7220.66   81965    0.7144850766334999        77905    319.516  
7222.71   82562    0.7125510716343927        78348    301.091  
7224.77   83169    0.7101283315673812        78767    335.716  
7226.85   83814    0.7082319038225416        79254    307.135  
7228.95   84456    0.7051007497084621        79655    318.344  
7231.07   85056    0.7033824180348572        80107    326.495  
7233.21   85510    0.7018729314881119        80434    307.08   
7235.37   85580    0.7007056533849835        80422    345.791  
7237.55   86907    0.6997603302689184        81605    345.822  
7239.75   87699    0.69755545542869          82198    362.18   
7241.96   88399    0.7001235916487261        83031    351.998  
7244.2    89161    0.7009766793682405        83806    361.139  
7246.45   89906    0.7011157686905816        84516    339.696  
7248.73   90116    0.7019358584253581        84771    348.87   
7251.02   91042    0.7035275519278742        85755    349.906  
7253.33   92227    0.705848662053072         87038    361.183  
