# XDI/1.0
# Spectrum.license: CC BY-NC-SA 4.0
# Facility.name: ESRF
# Beamline.name: BM30B (FAME) / FAME-UHD
# Beamline.scan_mode: Fluorescence HERFD
# Beamline.detector: Crystal Analyzer Spectrometer Ge(620)
# Sample.name: Iron (II) Oxide (FeO)
# Sample.formula: FeO
# Sample.temperature: 295 K
# Sample.prep: Synthetic FeO in cellulose pellet
# Element.symbol: Fe
# Element.edge: K
# Publication.DOI: https://doi.org/10.26302/SSHADE/EXPERIMENT_SOC_20181115_004
# Database.name: SSHADE / FAME
# Database.spectrum_uid: SPECTRUM_SOC_20181115_004H
# Column.1: Energy
# Column.2: Ifluor_HERFD
# Column.3: Mufluor
# Energy       Ifluor_HERFD    Mufluor
   7156.8602      214.920790      0.953418
   7157.0602      213.150800      0.944810
   7157.2602      212.621240      0.942234
   7157.4302      213.207660      0.945087
   7157.6602      214.754140      0.952608
   7157.8702      216.330210      0.960273
   7158.0502      214.047830      0.949173
   7158.2602      214.720890      0.952446
   7158.4602      214.896160      0.953299
   7158.6402      215.333330      0.955425
   7158.8602      215.979360      0.958567
   7159.0802      215.126870      0.954421
   7159.2402      216.254730      0.959906
   7159.4702      217.232730      0.964663
   7159.6602      213.990840      0.948896
   7159.8502      216.372680      0.960480
   7160.0402      218.748320      0.972034
   7161.3602      220.024200      0.978239
   7164.1802      223.192100      0.993647
   7165.6302      228.616740      1.020030
   7167.0302      231.081590      1.032018
   7168.4302      243.721560      1.093493
   7169.9702      245.186190      1.100616
   7171.3902      251.351200      1.130600
   7172.9402      254.031640      1.143637
   7174.4602      256.986980      1.158010
   7176.0102      257.975510      1.162818
   7177.5602      252.665890      1.136994
   7179.1602      253.632590      1.141696
   7180.7502      252.358010      1.135497
   7182.3502      246.219520      1.105642
   7184.0102      240.749140      1.079036
   7185.6802      237.488480      1.063178
   7187.4102      234.387140      1.048094
   7188.9602      231.141200      1.032307
   7190.7602      229.809900      1.025833
   7192.4902      225.446540      1.004611
   7194.2502      224.584430      1.000418
   7196.0002      221.264810      0.984273
   7197.8102      225.994280      1.007275
   7199.6202      224.986640      1.002374
   7201.4002      226.585440      1.010150
   7203.2802      229.624460      1.024931
   7205.1702      230.641280      1.029876
   7207.0102      230.110390      1.027294
   7208.9202      230.200330      1.027732
   7210.8702      228.642890      1.020157
   7212.7702      225.687040      1.005781
   7214.7602      226.975060      1.012045
   7216.7102      231.264120      1.032905
   7218.7302      229.716680      1.025379
   7220.7602      233.545900      1.044003
   7222.7402      233.097100      1.041820
   7224.8502      233.043030      1.041557
   7226.8802      233.037580      1.041531
   7228.9702      230.304220      1.028237
   7231.1102      227.296180      1.013607
   7233.2202      228.249990      1.018246
   7235.3702      221.033090      0.983146
   7237.5302      219.318720      0.974808
   7239.7402      218.095080      0.968857
   7241.9302      222.057160      0.988127
   7244.1602      223.065110      0.993029
   7246.4102      228.556500      1.019737
   7248.6502      226.799330      1.011191
   7250.9602      227.259010      1.013426
   7253.2202      229.892520      1.026234
   7255.5702      227.547960      1.014832
   7257.9002      226.278820      1.008659
   7260.2802      224.602180      1.000505
   7262.6102      226.541520      1.009937
   7265.0202      226.147580      1.008021
   7267.4302      224.870450      1.001809
   7269.8802      229.491500      1.024284
   7272.3002      229.200160      1.022867
   7274.8002      230.860880      1.030944
   7277.2602      227.209930      1.013188
   7279.7802      228.098440      1.017509
   7282.3202      223.021430      0.992816
   7284.8402      222.745670      0.991475
   7287.4302      221.255110      0.984226
   7289.9902      218.692620      0.971763
   7292.6202      215.475620      0.956117
   7295.2002      213.894560      0.948427
   7297.8702      217.041530      0.963733
   7300.5002      216.421580      0.960718
   7303.2002      214.954980      0.953585
   7305.8702      214.065020      0.949256
   7308.6102      222.504480      0.990302
   7311.3302      221.058690      0.983271
   7314.0802      218.518260      0.970915
   7316.8502      221.489850      0.985368
   7319.6502      221.858270      0.987159
   7322.4402      221.550610      0.985663
   7325.2702      220.426020      0.980194
   7328.1302      220.911190      0.982553
   7330.9602      223.292830      0.994136
   7333.8802      220.277930      0.979473
   7336.7502      223.707600      0.996154
   7339.7002      221.886010      0.987294
   7342.6202      220.424710      0.980187
   7345.5902      219.379420      0.975103
   7348.5402      219.101740      0.973753
   7351.5402      218.260510      0.969661
